ORF	Protein Molecules/Cell
YER054C	124.5101173897
YER056C-A	23561.8424393714
YER057C	672.1270087993
YER059W	1239.6929463183
YER061C	1655.8852847577
YER062C	4996.8458210408
YER063W	6583.1525195966
YER064C	1733.2622972652
YER067W	8450.9566105644
YER068W	4276.9681590959
YER069W	1183.5659892807
YER070W	292504.780346579
YER071C	799.4163217257
YER072W	12073.7808500673
YER073W	23316.8715330893
YER075C	768.1027686178
YER077C	432.3971638247
YER078C	5083.7901774112
YER079W	1885.4912664347
YER080W	8197.041146697
YER081W	7671.7115805387
YER082C	5795.7763336028
YER084W	299.5191020804
YER086W	11874.8390602002
YER087C-A	216.6344940172
YER087W	477.2841793911
YER088C	2120.4475519877
YER089C	12618.8940737135
YER090W	6512.4366978056
YER091C	263886.234854787
YER092W	2277.4651300666
YER093C-A	1835.1038353991
YER095W	6964.2690488454
YER098W	98.9415232018
YER099C	8121.336003746
YER100W	1898.0350165331
YER101C	936.7759726021
YER102W	14388.3096582884
YER103W	17876.6258080038
YER104W	258.9158930092
YER105C	4422.3267208248
YER107C	1822.7679040322
YER110C	38300.9854262458
YER111C	589.4377909277
YER112W	3443.3749337974
YER114C	688.3516602345
YER118C	2325.2264986127
YER120W	3497.2156609059
YER122C	1511.5857252334
YER123W	1322.7104933797
YER124C	3082.4407404929
YER126C	8655.8085291081
YER127W	1431.4112664128
YER128W	966.5968624001
YER129W	752.3255359761
YER131W	503125.458309865
YER132C	814.9573717329
YER133W	14599.3788638343
YER134C	6185.5811273097
YER136W	7282.7450610872
YER139C	5480.7294738287
YER143W	6512.4366978056
YER144C	299.5191020804
YER145C	8374.5301450655
YER147C	906.7142854482
YER149C	7820.7037085828
YER151C	2205.3455177275
YER152C	1390.9002255948
YER153C	468.3946500874
YER154W	6547.7650266015
YER155C	1232.7125401109
YER156C	6081.6339237998
YER157W	4144.9085659779
YER158C	783.7988872508
YER159C	5127.4362538354
YER161C	1239.6929463183
YER162C	876.3996935368
YER163C	1295.1875435962
YER164W	1616.8555807358
YER165W	197889.86751583
YER168C	13524.8687108983
YER169W	2229.4504274232
YER170W	704.4806631731
YER171W	14431.7583929766
YER172C	1444.8506978901
YER173W	752.3255359761
YER174C	7795.8100689504
YER175C	936.7759726021
YER176W	736.4646183164
YER177W	157574.612584106
YER178W	100203.32298643
YER182W	1923.0602612185
YER183C	468.3946500874
YFL001W	5863.9926362159
YFL002C	5739.1187317275
YFL004W	2914.8688258433
YFL006W	1498.2989478748
YFL007W	2595.3042699329
YFL008W	5705.2070698303
YFL010C	6024.1218875523
YFL013C	1390.9002255948
YFL014W	4485.0822659475
YFL016C	7572.8782535351
YFL017C	2548.8607545617
YFL017W-A	1404.4364918104
YFL018C	24567.365521726
YFL021W	1183.5659892807
YFL023W	1295.1875435962
YFL024C	1112.4478715328
YFL027C	572.556510114
YFL028C	1616.8555807358
YFL030W	338.7778519542
YFL031W	8965.9199128082
YFL034C-A	74715.5167342965
YFL034C-B	2253.4899496255
YFL034W	1112.4478715328
YFL041W	2835.839686762
YFL044C	2767.6571617961
YFL045C	3497.2156609059
YFL047W	1746.0733400771
YFL048C	2903.6122407164
YFL049W	3181.8864811569
YFL050C	2132.6275242022
YFL060C	194.7116977248
YFR001W	3651.7275894714
YFR002W	15545.4607361461
YFR003C	1083.6812483905
YFR004W	16352.9929067081
YFR005C	166.9449363048
YFR007W	160.5863024365
YFR008W	486.1322481776
YFR009W	14629.6092677556
YFR010W	6772.8800629703
YFR011C	3553.7871199454
YFR013W	1771.6248752844
YFR014C	1524.8431866141
YFR015C	6301.716046342
YFR016C	704.4806631731
YFR017C	639.376548517
YFR018C	3970.6126431524
YFR019W	148.8112425442
YFR021W	1564.4434529865
YFR024C	18037.7395310614
YFR024C-A	3671.4144529815
YFR025C	4276.9681590959
YFR026C	720.5172912198
YFR028C	8553.1925301299
YFR030W	1577.5873845776
YFR031C	3291.4732243931
YFR032C-A	51129.4305204261
YFR033C	4485.0822659475
YFR037C	3380.8440951032
YFR039C	3170.875938744
YFR040W	5955.3314202366
YFR044C	22293.2660246638
YFR046C	1295.1875435962
YFR047C	2664.5809613779
YFR048W	655.8032161618
YFR049W	2046.992119127
YFR050C	16919.4205695191
YFR051C	17957.1266787125
YFR052W	9889.4456748649
YFR053C	40790.5973724412
YFR054C	299.5191020804
YFR055W	2606.8824065397
YGL001C	2577.9126466374
YGL004C	2205.3455177275
YGL005C	1363.7275340396
YGL006W	98.9415232018
YGL008C	1255722.32587208
YGL009C	96329.4536589243
YGL010W	486.1322481776
YGL011C	15207.6499124464
YGL012W	1642.9013525775
YGL013C	1295.1875435962
YGL014W	720.5172912198
YGL016W	9755.8037199386
YGL017W	2034.6854550539
YGL018C	2010.0156923387
YGL019W	8121.336003746
YGL020C	2253.4899496255
YGL021W	2193.2682071823
YGL022W	3004.5334190662
YGL025C	555.5490567277
YGL026C	15453.1025826679
YGL027C	2835.839686762
YGL028C	22621.3457965085
YGL029W	2337.1281790302
YGL030W	59318.7494677353
YGL031C	247377.621469474
YGL032C	1155.2513414061
YGL035C	830.424216702
YGL036W	486.1322481776
YGL037C	7721.276913775
YGL038C	9490.2174573899
YGL039W	2343.0733016411
YGL040C	11557.2018165163
YGL043W	6255.1817718763
YGL044C	6348.3570448385
YGL045W	783.7988872508
YGL046W	3037.9837596704
YGL047W	1948.0038456371
YGL048C	4696.2330172521
YGL049C	3389.3215771565
YGL050W	3389.3215771565
YGL053W	1253.624220155
YGL054C	7108.8905546267
YGL056C	21216.1255823571
YGL058W	2767.6571617961
YGL059W	450.486391395
YGL060W	3870.0743306775
YGL061C	996.1880404995
YGL062W	12532.3286429528
YGL064C	736.4646183164
YGL065C	1835.1038353991
YGL066W	486.1322481776
YGL067W	845.8189247369
YGL068W	6940.2551691066
YGL070C	2443.5716161957
YGL071W	2733.407425895
YGL076C	101440.792928272
YGL078C	38934.1823221016
YGL079W	1629.8915548926
YGL080W	395.6283435379
YGL082W	7622.245279158
YGL083W	1484.9824628795
YGL084C	672.1270087993
YGL085W	704.4806631731
YGL086W	655.8032161618
YGL087C	2756.252491602
YGL090W	876.3996935368
YGL092W	4632.5721282586
YGL094C	1511.5857252334
YGL095C	5660.0885273314
YGL097W	12081.9097603133
YGL098W	936.7759726021
YGL099W	19425.1099958145
YGL100W	951.7158018827
YGL101W	1498.2989478748
YGL105W	57715.6756783792
YGL107C	4802.9305744408
YGL108C	2431.8029498398
YGL110C	6301.716046342
YGL111W	2744.8359377597
YGL112C	6506.3768161414
YGL113W	124.5101173897
YGL115W	11676.9247311532
YGL117W	148.8112425442
YGL119W	951.7158018827
YGL120C	16910.0007152409
YGL122C	9671.6988185739
YGL125W	8604.4531276938
YGL126W	538.4095771344
YGL127C	468.3946500874
YGL129C	1295.1875435962
YGL130W	279.4032573719
YGL133W	2606.8824065397
YGL134W	216.6344940172
YGL135W	264998.50393287
YGL137W	129074.161195854
YGL140C	1083.6812483905
YGL141W	3115.6778117042
YGL143C	414.1154570885
YGL145W	6024.1218875523
YGL147C	52359.4594061384
YGL148W	2313.3094733387
YGL150C	6278.4355498351
YGL151W	2490.5048837063
YGL153W	2572.1088833242
YGL154C	622.8430059684
YGL155W	3938.9088248593
YGL156W	319.3003892695
YGL157W	2948.5732824727
YGL159W	172.1478323647
YGL161C	936.7759726021
YGL162W	1098.0882582037
YGL164C	3671.4144529815
YGL166W	1758.8607802603
YGL167C	6904.2825841198
YGL169W	538.4095771344
YGL172W	4755.7292036919
YGL173C	11676.9247311532
YGL175C	1025.559691608
YGL178W	1239.6929463183
YGL180W	1069.2258916953
YGL181W	936.7759726021
YGL185C	1431.4112664128
YGL187C	9410.9857521753
YGL189C	16321.7003601365
YGL190C	8604.4531276938
YGL194C	4888.8214375272
YGL195W	7327.5409183617
YGL197W	395.6283435379
YGL200C	26817.414251152
YGL201C	13435.6670728554
YGL202W	1771.6248752844
YGL203C	8553.1925301299
YGL206C	28660.8193529947
YGL207W	18491.2320519007
YGL208W	299.5191020804
YGL209W	503.7084662699
YGL210W	4297.6413647398
YGL212W	2360.885972901
YGL213C	1707.5683474583
YGL216W	736.4646183164
YGL219C	376.9212091513
YGL220W	2046.992119127
YGL221C	6001.1645371663
YGL223C	2193.2682071823
YGL225W	31880.1931894306
YGL226C-A	1010.9007026597
YGL226W	1169.4302239778
YGL227W	1498.2989478748
YGL228W	8642.9608026355
YGL229C	279.4032573719
YGL231C	1322.7104933797
YGL232W	2630.000000118
YGL233W	4276.9681590959
YGL234W	35800.676762804
YGL238W	23504.4149290493
YGL240W	1363.7275340396
YGL241W	2937.3492840016
YGL244W	6512.4366978056
YGL245W	48696.7627544424
YGL246C	4031.3177776271
YGL247W	124.5101173897
YGL248W	1404.4364918104
YGL250W	1822.4527776717
YGL252C	3258.6948795511
YGL253W	114499.085481991
YGL254W	2120.4475519877
YGL256W	125
YGL257C	1169.4302239778
YGR001C	3060.232559141
YGR002C	2229.4504274232
YGR003W	172.1478323647
YGR004W	238.0117922074
YGR005C	519.6820309302
YGR007W	4696.2330172521
YGR008C	5325.2666956406
YGR010W	1431.4112664128
YGR012W	4653.7625009298
YGR013W	782.0582380564
YGR014W	1322.7104933797
YGR016W	238.0117922074
YGR017W	2835.839686762
YGR019W	572.556510114
YGR020C	4051.6161456696
YGR021W	1784.3658775181
YGR024C	1169.4302239778
YGR027C	321821.953903498
YGR028W	3534.2982733038
YGR030C	3181.8864811569
YGR031W	7400.8790218637
YGR033C	3770.3389300057
YGR034W	33236.3053686731
YGR037C	8502.0269520725
YGR038W	2801.8006016641
YGR040W	5480.7294738287
YGR041W	951.7158018827
YGR043C	1923.0602612185
YGR046W	194.7116977248
YGR047C	876.3996935368
YGR048W	3534.2982733038
YGR049W	3214.8608473352
YGR052W	338.7778519542
YGR056W	258.9158930092
YGR057C	655.8032161618
YGR058W	1629.8915548926
YGR060W	77108.0021886219
YGR061C	40769.8237656754
YGR062C	468.3946500874
YGR063C	4485.0822659475
YGR068C	1972.8673365865
YGR071C	1054.7212022
YGR072W	1253.624220155
YGR074W	2396.4104576326
YGR075C	2384.5837740275
YGR076C	1551.2716815962
YGR077C	538.4095771344
YGR078C	6547.7650266015
YGR080W	1471.6358688915
YGR081C	3671.4144529815
YGR082W	5682.6339230722
YGR083C	10307.8218635866
YGR084C	16040.9051559614
YGR085C	21216.1255823571
YGR086C	114642.138308652
YGR087C	1524.8431866141
YGR088W	319.3003892695
YGR089W	996.1880404995
YGR090W	3258.6948795511
YGR091W	1264.8360289911
YGR092W	3497.2156609059
YGR093W	1267.5166553821
YGR094W	358
YGR095C	10757.9413261234
YGR099W	638.126514121
YGR100W	768.1027686178
YGR102C	172.1478323647
YGR103W	4527.0712077373
YGR104C	1010.9007026597
YGR105W	1484.9824628795
YGR106C	12763.5793426224
YGR108W	299.5191020804
YGR111W	768.1027686178
YGR112W	622.8430059684
YGR116W	8888.0753193206
YGR117C	1281.3708901358
YGR118W	10566.0283131129
YGR119C	9305.2658944723
YGR120C	3269.6301719607
YGR123C	6988.3086143112
YGR124W	58178.9331121025
YGR125W	1417.9400162189
YGR128C	16761.4806390862
YGR129W	2455.326041069
YGR130C	10293.7319752973
YGR132C	9689.1943947601
YGR134W	1322.7104933797
YGR135W	17077.8186820362
YGR140W	1345.2372882308
YGR141W	622.8430059684
YGR143W	468.3946500874
YGR146C	589.4377909277
YGR147C	1239.6929463183
YGR148C	36883.0889701397
YGR150C	876.3996935368
YGR155W	41938.1775704658
YGR156W	936.7759726021
YGR157W	1809.7795884532
YGR158C	7376.4078465249
YGR159C	77437.2078672121
YGR161C	2096.034577029
YGR162W	9755.8037199386
YGR163W	2606.8824065397
YGR165W	3464.9364609705
YGR166W	1655.8852847577
YGR167W	3486.4642875422
YGR169C	376.9212091513
YGR171C	3115.6778117042
YGR173W	6197.1644685799
YGR174C	704.4806631731
YGR175C	65383.6077778795
YGR177C	3004.5334190662
YGR178C	2869.7762943515
YGR179C	2687.5722804063
YGR180C	88884.149272176
YGR183C	4548.1110906356
YGR185C	2710.4979039524
YGR186W	1923.0602612185
YGR187C	20843.8959781046
YGR188C	414.1154570885
YGR189C	29521.4344915499
YGR191W	688.3516602345
YGR192C	168875.841929811
YGR193C	414.1154570885
YGR194C	3464.9364609705
YGR195W	5149.302601607
YGR198W	1642.9013525775
YGR200C	6093.1566336359
YGR202C	3049.1132644576
YGR203W	2313.3094733387
YGR204W	35641.1711425708
YGR205W	4276.9681590959
YGR206W	752.3255359761
YGR207C	2402.3182933325
YGR208W	13849.9589375719
YGR209C	17236.6733559613
YGR210C	11592.4204615893
YGR211W	39859.0407440915
YGR214W	93683.7059235057
YGR218W	7084.7230625912
YGR220C	3192.8874471019
YGR221C	56.8663855886
YGR222W	799.4163217257
YGR229C	5682.6339230722
YGR231C	2847.163184762
YGR232W	319.3003892695
YGR233C	2926.1144859211
YGR234W	12966.9950625399
YGR235C	5215.0743238738
YGR237C	1054.7212022
YGR238C	468.3946500874
YGR240C	89811.2587383082
YGR241C	6796.7131902858
YGR243W	6749.0728950076
YGR245C	3637.9088162535
YGR246C	4331.6513797413
YGR247W	1524.8431866141
YGR248W	4318.3454315438
YGR250C	1910.5579465296
YGR251W	1458.2587545042
YGR252W	1183.5659892807
YGR253C	17077.8186820362
YGR254W	76728.6899984945
YGR255C	2937.3492840016
YGR256W	555.5490567277
YGR257C	538.4095771344
YGR258C	845.8189247369
YGR261C	3573.3091406546
YGR262C	3015.6938941111
YGR264C	85016.1535152987
YGR266W	3225.8333793331
YGR267C	2835.839686762
YGR269W	279.4032573719
YGR270W	172.1478323647
YGR271C-A	2835.839686762
YGR271W	486.1322481776
YGR274C	1498.2989478748
YGR275W	1551.2716815962
YGR277C	3612.4524285355
YGR278W	3258.6948795511
YGR279C	6185.5811273097
YGR280C	3850.0627644354
YGR281W	3612.4524285355
YGR282C	45010.3975233624
YGR283C	2824.5048028739
YGR285C	86409.0145405018
YGR286C	503.7084662699
YGR287C	752.3255359761
YGR292W	5062.0105427196
YHL001W	35104.4726716506
YHL002W	357.9774132475
YHL004W	6892.3046019735
YHL007C	258.9158930092
YHL009C	1681.776763163
YHL013C	172.1478323647
YHL014C	2360.885972901
YHL017W	14599.3788638343
YHL018W	752.3255359761
YHL019C	2892.3446668149
YHL020C	1281.3708901358
YHL021C	5795.7763336028
YHL025W	2903.6122407164
YHL026C	830.424216702
YHL027W	1822.4527776717
YHL029C	12532.3286429528
YHL030W	2948.5732824727
YHL033C	237632.519109113
YHL034C	12763.5793426224
YHL038C	1363.7275340396
YHL039W	5171.1977601342
YHL048W	3071.3416994333
YHR001W	2349.0146319007
YHR001W-A	5592.6192669301
YHR003C	8425.4572217249
YHR004C	376.9212091513
YHR005C	9916.2415961396
YHR006W	6488.9174077474
YHR007C	73216.5674483436
YHR008C	10923.2875453878
YHR009C	5237.0556368193
YHR010W	7376.4078465249
YHR011W	404.8984464288
YHR012W	258.9158930092
YHR013C	3313.2798714379
YHR015W	98.9415232018
YHR018C	10158.4126552552
YHR023W	2144.7900218404
YHR024C	31358.2498387446
YHR025W	92610.3914785974
YHR027C	305987.611155882
YHR030C	3225.8333793331
YHR031C	655.8032161618
YHR034C	2606.8824065397
YHR035W	450.486391395
YHR036W	1281.3708901358
YHR037W	17204.8659735153
YHR038W	1444.8506978901
YHR039C	2502.2033529619
YHR039C-A	2277.4651300666
YHR040W	2801.8006016641
YHR041C	1720.4273891027
YHR042W	46625.6459960591
YHR043C	2396.4104576326
YHR044C	752.3255359761
YHR046C	2443.5716161957
YHR047C	76981.5003965677
YHR049W	14599.3788638343
YHR051W	12474.7210413262
YHR052W	45869.6677314864
YHR053C	31880.1931894306
YHR055C	6677.8074957253
YHR057C	338.7778519542
YHR058C	4824.3590392416
YHR059W	2630.000000118
YHR060W	752.3255359761
YHR061C	1098.0882582037
YHR062C	6301.716046342
YHR063C	2595.3042699329
YHR064C	73590.4217304062
YHR066W	8146.5468619164
YHR067W	799.4163217257
YHR068W	7597.5493415668
YHR069C	4840.7124606371
YHR070W	4122.9085819046
YHR072W	2193.2682071823
YHR073W	589.4377909277
YHR074W	172.1478323647
YHR077C	1281.3708901358
YHR079C	258.9158930092
YHR082C	1267.5166553821
YHR083W	1471.6358688915
YHR084W	1923.0602612185
YHR085W	4422.3267208248
YHR086W	1484.9824628795
YHR087W	2431.8029498398
YHR088W	783.7988872508
YHR089C	5727.807925802
YHR094C	23334.3431299856
YHR098C	12187.92068674
YHR101C	3464.9364609705
YHR102W	1040.1661565026
YHR104W	12850.6354545753
YHR106W	414.1154570885
YHR107C	1169.4302239778
YHR108W	2265.4855184045
YHR109W	2937.3492840016
YHR111W	2618.4476213701
YHR112C	1363.7275340396
YHR113W	172.1478323647
YHR114W	5436.170201652
YHR115C	2790.4311445338
YHR116W	1363.7275340396
YHR117W	4112.7003747382
YHR118C	2969.0900559371
YHR119W	172.1478323647
YHR120W	1668.843655697
YHR121W	8323.6988537258
YHR122W	1797.0840343749
YHR127W	2144.7900218404
YHR129C	1577.5873845776
YHR131C	172.1478323647
YHR132C	468.3946500874
YHR132W-A	1404.4364918104
YHR133C	1898.0350165331
YHR135C	1629.8915548926
YHR136C	2181.1741432305
YHR137W	7696.481883353
YHR138C	319.3003892695
YHR141C	3890.1180126915
YHR143W-A	906.7142854482
YHR144C	1511.5857252334
YHR146W	2993.3625053547
YHR147C	5682.6339230722
YHR149C	1551.2716815962
YHR152W	936.7759726021
YHR154W	1377.3307374126
YHR155W	1169.4302239778
YHR156C	799.4163217257
YHR158C	1350.090108664
YHR159W	503.7084662699
YHR161C	622.8430059684
YHR162W	3410.9687579253
YHR163W	3421.7793883197
YHR165C	468.3946500874
YHR166C	79.6715460259
YHR167W	2835.839686762
YHR168W	189.1352265558
YHR169W	3497.2156609059
YHR170W	11894.8988920955
YHR172W	2231.3300260513
YHR173C	148.8112425442
YHR174W	2606.8824065397
YHR178W	279.4032573719
YHR179W	15131.1961052392
YHR181W	1809.7795884532
YHR182W	1720.4273891027
YHR183W	101440.792928272
YHR187W	3870.0743306775
YHR188C	1681.776763163
YHR189W	338.7778519542
YHR190W	10757.9413261234
YHR192W	3389.3215771565
YHR193C	38016.0821750913
YHR194W	1197.6594091073
YHR195W	1898.0350165331
YHR196W	20005.5601504041
YHR197W	7820.7037085828
YHR198C	1350.090108664
YHR199C	4422.3267208248
YHR200W	17236.6733559613
YHR201C	3170.875938744
YHR203C	101854.327439213
YHR204W	655.8032161618
YHR205W	3850.0627644354
YHR206W	2572.1088833242
YHR207C	4996.8458210408
YHR208W	87301.7744265973
YHR209W	4380.6422368738
YHR215W	3291.4732243931
YHR216W	7870.5646906708
YIL001W	194.7116977248
YIL002C	98.9415232018
YIL005W	6024.1218875523
YIL007C	845.8189247369
YIL008W	1239.6929463183
YIL009W	6441.958020886
YIL010W	1835.1038353991
YIL014W	2313.3094733387
YIL015W	672.1270087993
YIL016W	3345.9223666925
YIL018W	4051.6161456696
YIL020C	6488.9174077474
YIL021W	10037.0613019558
YIL024C	1538.071714315
YIL026C	4092.3075040772
YIL027C	5237.0556368193
YIL031W	450.486391395
YIL033C	4276.9681590959
YIL034C	6772.8800629703
YIL035C	7181.5458137739
YIL036W	1239.6929463183
YIL038C	2490.5048837063
YIL039W	1069.2258916953
YIL041W	7721.276913775
YIL042C	4215.13427699
YIL043C	4824.3590392416
YIL044C	5347.3906855465
YIL045W	996.1880404995
YIL046W	216.6344940172
YIL047C	1155.2513414061
YIL050W	3389.3215771565
YIL051C	168102.021842471
YIL052C	21012.8381375642
YIL053W	193299.896802656
YIL054W	521.1316998811
YIL056W	279.4032573719
YIL057C	5525.4012878592
YIL061C	736.4646183164
YIL062C	3060.232559141
YIL063C	3618.6720453637
YIL064W	1616.8555807358
YIL065C	2408.2224763865
YIL066C	1363.7275340396
YIL068C	1083.6812483905
YIL069C	6162.4346023203
YIL070C	4910.367739703
YIL071C	503.7084662699
YIL074C	2010.0156923387
YIL075C	4749.488951802
YIL076W	23072.695558403
YIL077C	921.7759599044
YIL078W	42623.7990440318
YIL079C	1551.2716815962
YIL083C	3170.875938744
YIL084C	105.4759668209
YIL085C	2892.3446668149
YIL088C	194.7116977248
YIL090W	606.1982940209
YIL091C	172.1478323647
YIL092W	105.4759668209
YIL093C	1923.0602612185
YIL094C	19079.392376078
YIL095W	1322.7104933797
YIL096C	2959.7865430689
YIL097W	783.7988872508
YIL098C	589.4377909277
YIL101C	194.7116977248
YIL103W	2525.5591588584
YIL104C	7060.5810893362
YIL105C	5193.121682969
YIL106W	5018.5383169017
YIL107C	1707.5683474583
YIL108W	194.7116977248
YIL111W	2253.4899496255
YIL115C	1225.7221759237
YIL118W	5909.607346566
YIL119C	1336.4179403345
YIL122W	736.4646183164
YIL123W	1797.0840343749
YIL124W	3671.4144529815
YIL125W	14328.1793681873
YIL126W	1985.2695217318
YIL127C	3671.4144529815
YIL128W	3148.8259239221
YIL129C	205.7465961204
YIL130W	395.6283435379
YIL131C	1720.4273891027
YIL132C	414.1154570885
YIL133C	43307.0540745306
YIL135C	2181.1741432305
YIL136W	6488.9174077474
YIL137C	5105.5987634792
YIL138C	11089.4129929953
YIL140W	395.6283435379
YIL143C	825.047060483
YIL144W	1155.2513414061
YIL145C	2402.3182933325
YIL147C	655.8032161618
YIL148W	11818.1869802215
YIL149C	2767.6571617961
YIL150C	1858.027220331
YIL151C	503.7084662699
YIL153W	4590.2814139267
YIL154C	5105.5987634792
YIL155C	1668.843655697
YIL156W	606.1982940209
YIL157C	1681.776763163
YIL159W	258.9158930092
YIL161W	1225.7221759237
YIL162W	1784.3658775181
YIL172C	166.3923354344
YIL173W	319.3003892695
YIR001C	6488.9174077474
YIR003W	450.486391395
YIR004W	8965.9199128082
YIR005W	921.7759599044
YIR007W	1069.2258916953
YIR008C	196.9428078486
YIR009W	503.7084662699
YIR010W	1308.9672167951
YIR011C	2120.4475519877
YIR012W	19670.7341089765
YIR015W	2071.5498589062
YIR018W	238.0117922074
YIR021W	5237.0556368193
YIR022W	3148.8259239221
YIR023W	704.4806631731
YIR024C	589.4377909277
YIR026C	7572.8782535351
YIR033W	299.5191020804
YIR034C	111933.626900336
YIR035C	2372.7423161073
YIR036C	1616.8555807358
YIR037W	8121.336003746
YJL001W	7254.4295602389
YJL002C	11889.0151913946
YJL003W	672.1270087993
YJL004C	238.0117922074
YJL006C	1590.7038243054
YJL010C	2926.1144859211
YJL011C	2926.1144859211
YJL012C-A	8707.2585200888
YJL013C	3170.875938744
YJL016W	3356.7853811883
YJL017W	172.1478323647
YJL018W	4506.0615816521
YJL021C	2606.8824065397
YJL023C	720.5172912198
YJL024C	1239.6929463183
YJL025W	397.6417413343
YJL026W	538.4095771344
YJL030W	1112.4478715328
YJL033W	7895.5319738023
YJL034W	336941.892706757
YJL035C	830.424216702
YJL036W	450.486391395
YJL039C	2519.7253190386
YJL041W	2396.4104576326
YJL042W	279.4032573719
YJL044C	2993.3625053547
YJL048C	1336.4179403345
YJL049W	2525.5591588584
YJL050W	12503.5145616067
YJL052W	120264.103181514
YJL055W	6441.958020886
YJL057C	891.5894029485
YJL058C	1960.4455070212
YJL060W	1603.7931122185
YJL061W	9470.9626916698
YJL062W	258.9158930092
YJL062W-A	2525.5591588584
YJL063C	3026.8439885038
YJL065C	3389.3215771565
YJL066C	3389.3215771565
YJL068C	1746.0733400771
YJL069C	9569.6546701357
YJL070C	1098.0882582037
YJL071W	111.9100466934
YJL073W	3181.8864811569
YJL074C	2664.5809613779
YJL076W	1590.7038243054
YJL079C	555.5490567277
YJL081C	1068.3516141481
YJL082W	4975.1824670904
YJL083W	395.6283435379
YJL084C	49.1575024918
YJL085W	4279.6586472985
YJL087C	3111.2715899598
YJL088W	1141.0285435955
YJL090C	539.5899274994
YJL092W	5193.121682969
YJL094C	172.1478323647
YJL095W	111.9100466934
YJL096W	1835.1038353991
YJL098W	11172.7665309403
YJL099W	1183.5659892807
YJL100W	56.8663855886
YJL101C	5127.4362538354
YJL102W	1733.2622972652
YJL104W	3181.8864811569
YJL107C	1484.9824628795
YJL109C	18231.666123322
YJL110C	319.3003892695
YJL112W	3730.6713721085
YJL115W	6231.9547501924
YJL121C	3313.2798714379
YJL122W	4781.5316934842
YJL123C	2156.9351936424
YJL124C	3486.4642875422
YJL125C	7221.974006366
YJL127C	1498.2989478748
YJL128C	2156.9351936424
YJL130C	11006.253146075
YJL131C	319.3003892695
YJL133W	1363.7275340396
YJL136C	15299.5519195628
YJL137C	981.4205090352
YJL139C	6395.1044685203
YJL143W	1211.7112303034
YJL144W	148.8112425442
YJL145W	6535.9823372006
YJL146W	1847.7329905801
YJL147C	981.4205090352
YJL148W	3362.2135721138
YJL149W	194.7116977248
YJL151C	12532.3286429528
YJL154C	2360.885972901
YJL155C	1681.776763163
YJL157C	238.0117922074
YJL158C	12532.3286429528
YJL159W	14599.3788638343
YJL162C	183.5170762204
YJL164C	4318.3454315438
YJL166W	6139.3149860266
YJL168C	216.6344940172
YJL171C	5525.4012878592
YJL172W	720.5172912198
YJL173C	4276.9681590959
YJL176C	3148.8259239221
YJL177W	21097.4675271415
YJL178C	8965.9199128082
YJL179W	720.5172912198
YJL180C	6371.7174721171
YJL183W	3475.7045671874
YJL184W	2181.1741432305
YJL186W	11395.9853913687
YJL190C	40375.749049295
YJL191W	3367.6395593105
YJL192C	11676.9247311532
YJL196C	936.7759726021
YJL197W	7108.8905546267
YJL198W	3432.5814334175
YJL200C	4674.9828145118
YJL201W	1746.0733400771
YJL203W	2490.5048837063
YJL204C	2699.049385473
YJL207C	299.5191020804
YJL208C	3870.0743306775
YJL209W	2181.1741432305
YJL210W	338.7778519542
YJL212C	2869.7762943515
YJL214W	622.8430059684
YJL217W	720.5172912198
YJL222W	279.4032573719
YJR001W	1822.4527776717
YJR003C	3280.5562715803
YJR005W	1668.843655697
YJR006W	625.8505793666
YJR007W	17077.8186820362
YJR008W	338.7778519542
YJR009C	120612.784982987
YJR010C-A	5547.7792895564
YJR010W	1511.5857252334
YJR011C	2560.4914565865
YJR012C	538.4095771344
YJR014W	21556.282193598
YJR015W	639.376548517
YJR016C	171209.927743312
YJR017C	4401.469187709
YJR022W	1444.8506978901
YJR024C	951.7158018827
YJR025C	2325.2264986127
YJR031C	2937.3492840016
YJR032W	3225.8333793331
YJR033C	148.8112425442
YJR041C	1662.3676466221
YJR042W	7920.7468704725
YJR043C	2408.2224763865
YJR044C	2337.1281790302
YJR046W	2193.2682071823
YJR047C	14238.1303956486
YJR048W	7327.5409183617
YJR049C	5040.2599067088
YJR050W	1985.2695217318
YJR051W	432.3971638247
YJR052W	936.7759726021
YJR053W	1377.3307374126
YJR054W	538.4095771344
YJR055W	2733.407425895
YJR056C	1885.4912664347
YJR057W	2982.1810943653
YJR058C	1390.9002255948
YJR059W	1417.9400162189
YJR060W	6892.3046019735
YJR062C	1642.9013525775
YJR063W	8450.9566105644
YJR065C	6654.1045143234
YJR066W	589.4377909277
YJR067C	1498.2989478748
YJR068W	4607.5155167173
YJR069C	3486.4642875422
YJR070C	39859.0407440915
YJR072C	15207.6499124464
YJR073C	5886.7863008686
YJR074W	2835.839686762
YJR075W	7157.3019630625
YJR076C	9279.3913785617
YJR078W	148.8112425442
YJR079W	906.7142854482
YJR080C	2289.4289106124
YJR082C	503.7084662699
YJR083C	1141.0285435955
YJR084W	1511.5857252334
YJR085C	2096.034577029
YJR086W	5547.7792895564
YJR088C	5739.1187317275
YJR091C	783.7988872508
YJR092W	1603.7931122185
YJR093C	1310.1909932702
YJR094W-A	45546.8515298992
YJR096W	6964.2690488454
YJR097W	2010.0156923387
YJR098C	1225.7221759237
YJR101W	2059.2801982614
YJR103W	5369.5430756136
YJR104C	519498.000637204
YJR105W	22172.7695190966
