#ORF	Ave. SD
YDR144C	
YDR145W	69.0
YDR146C	
YDR147W	
YDR148C	211.0
YDR150W	83.5
YDR152W	272.0
YDR153C	273.5
YDR155C	3841.4
YDR156W	105.0
YDR158W	1654.0
YDR159W	
YDR161W	139.5
YDR164C	
YDR165W	188.5
YDR166C	115.9
YDR167W	90.5
YDR168W	400.5
YDR169C	91.5
YDR170C	249.7
YDR170W-A	589.5
YDR171W	232.5
YDR172W	2233.5
YDR173C	
YDR174W	668.5
YDR175C	172.5
YDR176W	
YDR177W	119.0
YDR178W	140.5
YDR179C	48.3
YDR180W	
YDR181C	
YDR182W	
YDR183W	
YDR184C	
YDR185C	
YDR186C	
YDR189W	278.9
YDR190C	365.0
YDR191W	
YDR193W	
YDR194C	421.5
YDR195W	63.0
YDR196C	80.5
YDR197W	
YDR200C	
YDR201W	
YDR202C	51.0
YDR204W	
YDR205W	
YDR207C	
YDR208W	59.5
YDR210W	77.0
YDR211W	327.5
YDR213W	
YDR214W	542.0
YDR216W	
YDR217C	
YDR219C	53.0
YDR221W	49.5
YDR222W	
YDR224C	14072.8
YDR225W	
YDR226W	3286.5
YDR227W	119.5
YDR228C	
YDR229W	100.5
YDR231C	66.5
YDR232W	222.0
YDR233C	2648.0
YDR234W	1259.0
YDR235W	
YDR236C	
YDR238C	1059.5
YDR239C	55.0
YDR240C	
YDR243C	
YDR244W	
YDR245W	161.0
YDR246W	116.0
YDR247W	90.5
YDR248C	49.2
YDR250C	
YDR251W	
YDR252W	65.2
YDR253C	
YDR254W	
YDR257C	240.0
YDR258C	329.5
YDR261C	
YDR262W	
YDR264C	157.9
YDR265W	
YDR266C	98.5
YDR267C	
YDR268W	51.0
YDR270W	
YDR272W	361.0
YDR275W	
YDR276C	
YDR279W	
YDR280W	217.5
YDR281C	
YDR283C	
YDR284C	
YDR288W	
YDR291W	
YDR293C	579.5
YDR294C	247.0
YDR295C	
YDR296W	329.5
YDR297W	286.5
YDR298C	1226.0
YDR299W	184.0
YDR300C	401.0
YDR301W	
YDR302W	358.5
YDR303C	358.0
YDR304C	
YDR305C	
YDR307W	127.0
YDR308C	53.4
YDR309C	
YDR310C	
YDR311W	
YDR312W	52.0
YDR313C	82.0
YDR314C	
YDR316W	
YDR318W	
YDR319C	
YDR320C	103.0
YDR320C-A	110.3
YDR322C-A	103.1
YDR322W	175.0
YDR323C	
YDR324C	124.0
YDR325W	
YDR326C	
YDR328C	306.0
YDR329C	76.0
YDR330W	275.0
YDR331W	142.5
YDR332W	
YDR333C	
YDR334W	
YDR335W	130.0
YDR337W	
YDR338C	
YDR343C	3095.5
YDR344C	
YDR345C	3056.5
YDR346C	773.5
YDR347W	214.0
YDR348C	181.5
YDR349C	
YDR350C	
YDR352W	173.0
YDR353W	1875.0
YDR354W	517.0
YDR356W	
YDR357C	
YDR358W	119.5
YDR361C	224.5
YDR362C	
YDR363W	
YDR363W-A	744.3
YDR364C	
YDR365C	
YDR367W	184.5
YDR368W	264.0
YDR369C	
YDR370C	
YDR371W	
YDR372C	232.5
YDR373W	87.5
YDR375C	52.0
YDR376W	
YDR377W	344.0
YDR379C-A	
YDR379W	52.5
YDR380W	
YDR381W	3782.0
YDR382W	6067.1
YDR384C	72.5
YDR385W	4113.5
YDR388W	463.0
YDR389W	110.0
YDR390C	73.5
YDR391C	87.0
YDR392W	
YDR394W	111.0
YDR395W	266.5
YDR397C	321.7
YDR398W	213.0
YDR399W	1287.0
YDR400W	
YDR404C	546.4
YDR405W	157.5
YDR407C	
YDR408C	656.5
YDR409W	
YDR410C	97.5
YDR411C	147.0
YDR412W	49.5
YDR414C	
YDR416W	
YDR418W	3942.3
YDR419W	
YDR421W	
YDR422C	50.0
YDR423C	
YDR424C	84.2
YDR425W	53.0
YDR427W	1108.5
YDR429C	
YDR430C	113.0
YDR432W	2933.0
YDR434W	142.0
YDR436W	
YDR437W	
YDR439W	
YDR440W	
YDR441C	
YDR443C	
YDR444W	
YDR447C	3752.0
YDR448W	65.5
YDR449C	150.0
YDR450W	91.0
YDR451C	
YDR452W	
YDR453C	127.5
YDR454C	633.1
YDR456W	98.0
YDR457W	48.5
YDR458C	
YDR460W	
YDR461W	
YDR462W	199.7
YDR463W	
YDR464W	
YDR465C	87.0
YDR469W	
YDR471W	2512.0
YDR472W	
YDR473C	49.5
YDR474C	
YDR476C	63.0
YDR477W	310.5
YDR478W	
YDR479C	69.0
YDR480W	
YDR481C	
YDR482C	
YDR483W	
YDR484W	106.5
YDR485C	
YDR486C	107.0
YDR487C	615.5
YDR492W	
YDR493W	
YDR495C	
YDR496C	374.5
YDR497C	1283.5
YDR498C	55.5
YDR499W	
YDR500C	2236.0
YDR502C	1560.5
YDR503C	55.5
YDR505C	
YDR507C	92.0
YDR508C	3452.7
YDR510W	922.4
YDR511W	61.3
YDR513W	
YDR514C	
YDR515W	73.0
YDR516C	79.5
YDR517W	245.0
YDR519W	52.5
YDR520C	
YDR523C	
YDR524C	
YDR525W-A	685.0
YDR527W	102.0
YDR528W	
YDR529C	1381.5
YDR530C	
YDR531W	97.0
YDR532C	
YDR533C	147.5
YDR538W	
YDR539W	63.5
YDR540C	
YEL001C	525.0
YEL002C	616.0
YEL003W	61.5
YEL005C	
YEL006W	
YEL007W	255.0
YEL008W	
YEL009C	
YEL011W	78.5
YEL012W	75.5
YEL013W	458.5
YEL014C	57.3
YEL015W	148.5
YEL017C-A	3451.5
YEL017W	73.5
YEL018W	
YEL019C	
YEL020C	
YEL022W	166.5
YEL024W	353.5
YEL025C	
YEL027W	1621.5
YEL029C	
YEL031W	916.6
YEL036C	63.0
YEL037C	
YEL038W	56.0
YEL039C	81.5
YEL040W	749.0
YEL042W	
YEL043W	60.0
YEL044W	235.8
YEL046C	6170.5
YEL047C	640.5
YEL048C	
YEL050C	
YEL051W	720.5
YEL052W	129.5
YEL053C	
YEL054C	1097.0
YEL055C	70.5
YEL058W	87.0
YEL059C-A	
YEL060C	118.0
YEL061C	
YEL062W	
YEL063C	1008.5
YEL065W	
YEL066W	
YEL071W	2404.5
YEL073C	
YER001W	98.8
YER002W	286.5
YER003C	525.5
YER004W	128.5
YER005W	
YER006W	322.5
YER007C-A	259.5
YER008C	59.5
YER011W	
YER013W	
YER014W	49.5
YER016W	63.0
YER017C	171.1
YER018C	
YER019C-A	219.7
YER020W	168.0
YER021W	
YER022W	112.0
YER023W	563.5
YER024W	80.5
YER025W	
YER027C	143.0
YER028C	
YER029C	58.5
YER030W	158.3
YER031C	290.5
YER032W	
YER033C	
YER034W	106.5
YER035W	172.8
YER036C	1723.0
YER037W	
YER038C	
YER040W	
