ORF Name	Intensity
YGR248W	632850000
YOR289W	717170000
YHL008C	34631000
YGL228W	2335700000
YMR140W	1220000000
YBR244W	11103000000
YNL293W	349480000
YJR062C	1019000000
YJR075W	557320000
YBL042C	1177800000
YAR028W	125970000
YOR266W	64738000
YLR446W	4852900
YNR049C	178950000
YML046W	235060000
YKR076W	29135000
YPR056W	17239000
YDL130W-A	421110000
YBR129C	278390000
YDR195W	820140000
YJL167W	49938000000
YOR328W	2088200
YOL135C	918570000
YMR052W	53018000
YMR176W	72770000
YNL115C	74104000
YBR188C	96696000
YMR009W	120910000
YCR035C	182850000
YGL256W	47996000
YFL044C	131330000
YJL085W	251000000
YFL010C	1368300000
YLR057W	193310000
YDR371W	23240000
YPR083W	61150000
YCL051W	109320000
YGR110W	1145000
YGL061C	720030000
YDL089W	189140000
YJR129C	25176000
YEL020C	42614000
YDR261C	413830000
YDR118W	126410000
YBR058C-A	504520000
YPR045C	34929000
YOR283W	1784000000
YDR026C	14931000
YGR281W	843010000
YKL006C-A	645740000
YER159C	1052500000
YEL020W-A	58441000
YMR167W	123920000
YIL126W	5432100000
YDR439W	164140000
YDL067C	1413200000
YCR026C	230910000
YDR305C	484080000
YMR244C-A	441180000
YGR129W	363590000
YLR026C	836710000
YMR110C	1151000000
YGL018C	432460000
YKL116C	53351000
YOR034C	2260100
YML034W	858070000
YOR244W	116930000
YIR005W	94998000
YOL052C	5136100000
YDR069C	296950000
YCL032W	194790000
YLR413W	1028400000
YGR258C	30514000
YKL142W	13306000000
YKL150W	11749000000
YGL036W	111220000
YNL281W	13873000000
YNL157W	1195400000
YPR186C	104970000
YDR155C	2.92E+11
YER139C	163850000
YLR371W	212550000
YBR077C	1200900000
YJL174W	1963200000
YDR518W	5442500000
YCR024C	40811000
YNL249C	55551000
YLR093C	1296200000
YDR052C	34595000
YKL101W	296290000
YIL106W	182970000
YMR020W	79294000
YGL084C	17106000
YBR042C	33757000
YIL118W	2717300000
YPL128C	751140000
YDR051C	635920000
YLR085C	36780000
YMR105C	16701000000
YBL080C	58709000
YJR013W	4271300
YDR246W	158940000
YKR074W	6398200000
YMR074C	7203700000
YDR303C	592100000
YLR321C	1269800000
YMR071C	264930000
YPR073C	1141000000
YNL123W	3452500000
YIL159W	29520000
YPR042C	199890000
YLR078C	2564800000
YGR141W	53893000
YJR069C	10362000000
YNR027W	2003200
YGR048W	725710000
YOR109W	3133000000
YMR300C	5392200000
YDL121C	640690000
YGL253W	1.71E+11
YMR134W	362650000
YOL018C	170670000
YMR225C	285440000
YBL057C	824670000
YLR247C	62370000
YLR058C	77873000000
YLR225C	665930000
YMR171C	182390000
YMR091C	3476800000
YIL002W-A	764310000
YFR005C	17873000
YKL119C	460850000
YBL085W	1682000000
YDR190C	10011000000
YGR284C	228930000
YNL127W	141090000
YDL035C	30449000
YJL217W	1259600000
YMR130W	126950000
YGR205W	4300200000
YGL008C	2.85E+11
YMR221C	260730000
YOL142W	260050000
YHR188C	369370000
YPR127W	2087500000
YGR238C	84158000
YLR387C	302190000
YKL125W	10334000
YKR014C	10289000000
YJL035C	32151000
YKR027W	1685000
YJR052W	13812000
YBR102C	318800000
YLR154C	1045300
YAL033W	31840000
YJL092W	44818000
YDL052C	4223800000
YJL141C	200360000
YNL208W	6155100000
YLR199C	2356200000
YKL114C	2032300000
YOL108C	22462000
YKL112W	1011600000
YBL001C	2508700000
YMR197C	685160000
YER056C	1160900000
YER092W	135710000
YER143W	1688200000
YBR023C	304470000
YCL036W	82781000
YLR250W	3711000000
YKL166C	1715700000
YIL051C	62794000000
YOR122C	20648000000
YPL002C	40443000
YGR209C	72324000000
YJR099W	1577800000
YBL074C	55698000
YHR060W	334280000
YER134C	3821500000
YBR030W	309990000
YJL030W	125210000
YPL232W	11393000000
YKR071C	3981400000
YMR145C	6132500000
YDR177W	8433000000
YGL041W-A	751290000
YLR385C	34651000
YCL040W	55357000000
YPL017C	960100
YNL312W	505810000
YHR001W	5333800000
YLR097C	26703000
YMR096W	2553000000
YHL024W	5440300
YGL197W	416440000
YLR378C	29425000
YGL232W	1452800000
YHR075C	85571000
YGL164C	232690000
YNL280C	350720000
YOR288C	328330000
YOR155C	1231800000
YPL234C	708960000
YOL081W	151070000
YAR071W	3561700000
YDL017W	20839000
YML041C	19671000
YGL209W	51090000
YDR143C	100520000
YBR204C	47052000
YMR201C	52867000
YOR163W	136950000
YPR067W	112030000
YBR238C	101280000
YMR170C	3822100000
YPL235W	2495700000
YPR172W	2305700000
YNR031C	112330000
YOR087W	558890000
YNL164C	116580000
YOR215C	3409100000
YOR106W	148410000
YBR214W	833840000
YNL141W	12716000000
YBR132C	41657000
YOL008W	226210
YOR188W	132090000
YJL139C	21865000
YGR271W	584410000
YDR142C	6073900
YLR383W	104410000
YLR351C	3739400000
YER101C	204810000
YBL088C	157700000
YPL117C	13707000000
YFL042C	64590000
YDL085C-A	4694300000
YMR087W	75875000
YDR333C	1531100000
YNR046W	1083300000
YNR028W	294080000
YFR010W	11751000000
YCL039W	185350000
YML052W	131160000
YIL110W	77791000
YGR111W	842360000
YIR008C	3148300000
YAL031C	38636000
YDR217C	174720000
YMR222C	880440000
YML099C	27489000
YMR132C	27250000
YBL066C	29928000
YHR149C	567180000
YPL241C	71493000
YDR363W	46406000
YCR083W	3898000000
YNR039C	6587400
YMR090W	1694000000
YPL170W	517020000
YML126C	23262000000
YLL022C	214710000
YKL135C	1218800000
YDR006C	155530000
YJL123C	12872000000
YDL030W	18401000
YFR021W	18506000
YPR141C	197080000
YPL186C	4151500
YPR152C	18071000
YLR274W	398510000
YKL092C	483080000
YJL124C	1237300000
YDR208W	228370000
YGL039W	2595000000
YDR468C	154910000
YJL053W	190760000
YDL236W	4209900000
YBL060W	54873000
YER012W	3574400000
YJL073W	118480000
YJR072C	1294600000
YGR177C	10729000
YHR046C	2434700000
YBL006C	223660000
YPR060C	5416000000
YLR207W	119190000
YEL047C	32211000000
YBR055C	745980000
YOR357C	2499900000
YGL037C	9734800000
YKR036C	156060000
YCL043C	96906000000
YMR196W	4041500000
YDR516C	1754900000
YPR034W	621360000
YDR229W	565330000
YLR270W	10377000000
YDR153C	553390000
YDR357C	29988000
YKL214C	1019800000
YOL128C	39641000
YNL059C	3764900000
YMR033W	1180200000
YGL210W	732030000
YKL110C	682020000
YGL133W	524990000
YBR258C	362540000
YMR123W	90431000
YJR083C	736180000
YGL161C	106650000
YJL184W	327160000
YHR132C	751590000
YDR098C	2272700000
YBR242W	83118000
YIR036C	3675600000
YDR499W	15449000
YNL023C	196740000
YOR089C	2649700000
YLR373C	67571000
YML004C	3406400000
YFR050C	1828200000
YDR071C	26860000000
YHL007C	1865300000
YPL064C	78891000
YAL058W	212300000
YCR027C	25590000
YLL029W	1797500000
YBR211C	106000
YLR098C	4288200
YJL031C	412540000
YIL010W	1775800000
YHR191C	41532000
YDL230W	425030000
YNL147W	1186600000
YEL044W	243500000
YDL157C	210760000
YBR103W	189910000
YDR164C	1759200000
YPL011C	59782000
YML016C	295230000
YKL018W	332620000
YOR373W	371030000
YDR475C	752550000
YOR233W	235610000
YPR171W	324430000
YJR034W	32192000
YDR330W	283170000
YER051W	15684000
YDR206W	4302500000
YCR086W	266950000
YKR020W	551940000
YBR152W	54864000
YCR036W	274270000
YGR250C	1156900000
YHR115C	45367000
YML109W	295060000
YIL003W	87538000
YBR215W	450270000
YBR225W	109780000
YBR016W	386050000
YOL030W	4488600000
YAR007C	4713400000
YGR038W	10052000
YOR144C	39214000
YPR008W	280320000
YBR210W	5292500
YGR175C	10459000000
YJR143C	3096500000
YGL095C	912480000
YHR007C	7919000000
YDR236C	348090000
YOR239W	5562000000
YOR304W	671230000
YOL034W	317750000
YMR160W	56652000
YMR161W	1860600000
YCL001W	885570000
YHR146W	14719000000
YDR167W	523130000
YBR213W	129330000
YAL049C	3365600000
YOR230W	46239000000
YDL235C	4182700000
