#ORF	Ave. YEPD
YDR100W	188.0
YDR101C	748.0
YDR103W	
YDR105C	141.0
YDR108W	
YDR110W	
YDR111C	57.0
YDR115W	
YDR116C	123.5
YDR118W	
YDR119W	348.5
YDR120C	169.0
YDR121W	
YDR122W	69.0
YDR123C	
YDR125C	
YDR127W	632.0
YDR128W	
YDR129C	1438.0
YDR130C	
YDR131C	
YDR132C	
YDR135C	215.5
YDR137W	
YDR138W	54.0
YDR139C	
YDR140W	64.0
YDR141C	145.0
YDR144C	
YDR145W	131.0
YDR146C	
YDR147W	
YDR148C	73.0
YDR150W	75.0
YDR152W	572.0
YDR153C	422.5
YDR155C	6004.0
YDR156W	139.0
YDR158W	821.0
YDR159W	
YDR161W	223.0
YDR164C	
YDR165W	354.5
YDR166C	128.5
YDR167W	103.0
YDR168W	448.5
YDR169C	96.0
YDR170C	322.0
YDR170W-A	593.5
YDR171W	183.0
YDR172W	2617.0
YDR173C	
YDR174W	574.5
YDR175C	185.0
YDR176W	
YDR177W	263.0
YDR178W	55.5
YDR179C	
YDR180W	
YDR181C	
YDR182W	
YDR183W	
YDR184C	
YDR185C	
YDR186C	50.5
YDR189W	361.0
YDR190C	519.5
YDR191W	
YDR193W	
YDR194C	427.0
YDR195W	79.0
YDR196C	84.5
YDR197W	
YDR200C	
YDR201W	
YDR202C	52.0
YDR204W	
YDR205W	93.5
YDR207C	45.5
YDR208W	
YDR210W	159.5
YDR211W	487.0
YDR213W	
YDR214W	812.5
YDR216W	
YDR217C	
YDR219C	56.5
YDR221W	64.5
YDR222W	
YDR224C	
YDR225W	
YDR226W	3870.5
YDR227W	70.0
YDR228C	
YDR229W	123.5
YDR231C	
YDR232W	160.0
YDR233C	2599.5
YDR234W	284.0
YDR235W	48.0
YDR236C	
YDR238C	1466.0
YDR239C	82.5
YDR240C	
YDR243C	
YDR244W	58.0
YDR245W	132.0
YDR246W	147.5
YDR247W	123.0
YDR248C	
YDR250C	59.5
YDR251W	
YDR252W	52.5
YDR253C	
YDR254W	
YDR257C	183.0
YDR258C	233.0
YDR261C	75.0
YDR262W	87.0
YDR264C	333.0
YDR265W	
YDR266C	115.5
YDR267C	
YDR268W	
YDR270W	65.0
YDR272W	355.0
YDR275W	
YDR276C	
YDR279W	
YDR280W	286.5
YDR281C	
YDR283C	
YDR284C	
YDR288W	
YDR291W	
YDR293C	577.5
YDR294C	275.5
YDR295C	
YDR296W	226.5
YDR297W	811.0
YDR298C	1220.0
YDR299W	361.0
YDR300C	614.5
YDR301W	45.0
YDR302W	431.0
YDR303C	397.5
YDR304C	112.5
YDR305C	
YDR307W	132.0
YDR308C	
YDR309C	68.0
YDR310C	
YDR311W	57.5
YDR312W	91.5
YDR313C	51.5
YDR314C	
YDR316W	
YDR318W	
YDR319C	
YDR320C	118.5
YDR320C-A	128.0
YDR322C-A	80.0
YDR322W	183.5
YDR323C	
YDR324C	211.0
YDR325W	
YDR326C	
YDR328C	375.0
YDR329C	71.0
YDR330W	106.5
YDR331W	225.5
YDR332W	
YDR333C	
YDR334W	
YDR335W	171.0
YDR337W	
YDR338C	
YDR343C	3384.5
YDR344C	
YDR345C	3521.0
YDR346C	1241.5
YDR347W	226.5
YDR348C	
YDR349C	47.0
YDR350C	
YDR352W	248.5
YDR353W	2484.5
YDR354W	109.0
YDR356W	
YDR357C	
YDR358W	73.0
YDR361C	355.0
YDR362C	
YDR363W	
YDR363W-A	987.0
YDR364C	108.0
YDR365C	404.5
YDR367W	244.0
YDR368W	385.5
YDR369C	
YDR370C	
YDR371W	
YDR372C	234.5
YDR373W	143.0
YDR375C	
YDR376W	
YDR377W	214.0
YDR379C-A	
YDR379W	50.0
YDR380W	45.0
YDR381W	4931.0
YDR382W	8027.5
YDR384C	158.0
YDR385W	8764.0
YDR388W	444.5
YDR389W	101.0
YDR390C	87.5
YDR391C	68.5
YDR392W	
YDR394W	131.0
YDR395W	491.5
YDR397C	302.5
YDR398W	407.5
YDR399W	1615.0
YDR400W	89.0
YDR404C	584.0
YDR405W	113.0
YDR407C	
YDR408C	408.0
YDR409W	
YDR410C	59.0
YDR411C	97.5
YDR412W	115.5
YDR414C	
YDR416W	
YDR418W	5767.0
YDR419W	
YDR421W	
YDR422C	
YDR423C	
YDR424C	
YDR425W	
YDR427W	1028.0
YDR429C	
YDR430C	139.0
YDR432W	4298.5
YDR434W	190.5
YDR436W	
YDR437W	
YDR439W	
YDR440W	
YDR441C	88.0
YDR443C	
YDR444W	
YDR447C	4988.0
YDR448W	59.0
YDR449C	280.0
YDR450W	166.0
YDR451C	
YDR452W	
YDR453C	131.5
YDR454C	806.5
YDR456W	121.0
YDR457W	
YDR458C	46.0
YDR460W	58.5
YDR461W	2197.5
YDR462W	177.5
YDR463W	
YDR464W	
YDR465C	184.5
YDR469W	
YDR471W	3454.5
YDR472W	139.0
YDR473C	
YDR474C	
YDR476C	107.0
YDR477W	272.5
YDR478W	
YDR479C	
YDR480W	
YDR481C	58.5
YDR482C	70.5
YDR483W	204.0
YDR484W	66.5
YDR485C	
YDR486C	136.0
YDR487C	449.0
YDR492W	
YDR493W	
YDR495C	
YDR496C	735.0
YDR497C	494.5
YDR498C	
YDR499W	
YDR500C	2820.5
YDR502C	1372.0
YDR503C	44.5
YDR505C	75.5
YDR507C	153.5
YDR508C	2635.5
YDR510W	1136.0
YDR511W	
YDR513W	62.0
YDR514C	
YDR515W	118.0
YDR516C	101.0
YDR517W	316.0
YDR519W	51.5
YDR520C	
YDR523C	
YDR524C	115.0
YDR525W-A	1155.0
YDR527W	124.0
YDR528W	48.0
YDR529C	783.5
YDR530C	
YDR531W	66.0
YDR532C	
YDR533C	
YDR538W	
YDR539W	58.0
YDR540C	
YEL001C	820.5
YEL002C	760.0
YEL003W	86.5
YEL005C	
YEL006W	
YEL007W	225.5
YEL008W	
YEL009C	
YEL011W	
YEL012W	60.5
YEL013W	512.0
YEL014C	132.5
YEL015W	154.0
YEL017C-A	5068.5
YEL017W	
YEL018W	
YEL019C	62.0
YEL020C	
YEL022W	263.5
YEL024W	119.5
YEL025C	
YEL027W	2158.0
YEL029C	
YEL031W	1279.5
YEL036C	133.5
YEL037C	66.5
YEL038W	93.5
YEL039C	
YEL040W	684.0
YEL042W	80.5
YEL043W	66.0
YEL044W	
YEL046C	7490.0
YEL047C	651.0
YEL048C	72.0
YEL050C	
YEL051W	978.0
YEL052W	111.0
YEL053C	
YEL054C	1248.0
YEL055C	172.0
YEL058W	70.5
YEL059C-A	
YEL060C	169.5
YEL061C	
YEL062W	
YEL063C	651.5
YEL065W	147.5
YEL066W	96.5
YEL071W	1188.5
YEL073C	
YER001W	90.5
YER002W	351.0
YER003C	704.5
YER004W	162.5
YER005W	
YER006W	559.0
YER007C-A	434.5
YER008C	153.5
YER011W	139.0
YER013W	
YER014W	
YER016W	66.5
YER017C	123.5
YER018C	92.5
YER019C-A	378.0
YER020W	164.5
YER021W	
YER022W	130.0
YER023W	612.5
YER024W	
YER025W	
YER027C	159.5
YER028C	
YER029C	115.0
YER030W	200.0
YER031C	467.0
YER032W	
YER033C	
YER034W	160.5
YER035W	220.5
YER036C	2589.0
YER037W	
YER038C	
YER040W	
YER042W	174.5
YER043C	5778.5
YER044C	58.5
YER047C	
YER048W-A	566.5
YER049W	105.0
YER052C	690.5
YER053C	
YER053C-A	404.0
YER054C	
YER056C	1542.5
YER056C-A	3253.0
YER059W	56.0
YER061C	
YER062C	238.5
YER063W	
YER064C	
YER067W	376.5
YER068W	254.5
YER069W	
YER070W	27855.5
YER071C	
YER072W	1651.0
YER073W	477.0
YER074W	2685.0
YER075C	
YER077C	
YER078C	
YER079W	
YER080W	205.0
YER081W	54.5
YER083C	191.0
YER084W	73.0
YER086W	261.5
YER087C-A	
YER088C	200.0
YER089C	210.5
YER090W	592.5
YER091C	9004.5
YER092W	102.5
YER095W	574.5
YER098W	
YER099C	125.0
YER100W	50.5
YER101C	
YER102W	6009.5
YER103W	156.5
YER104W	
YER105C	184.5
YER107C	119.5
YER110C	2687.0
YER111C	
YER112W	159.0
YER113C	122.0
YER114C	147.5
YER116C	
YER117W	
YER118C	168.5
YER120W	458.0
YER122C	499.5
YER123W	101.0
YER124C	
YER126C	4564.0
YER128W	233.0
YER129W	
YER131W	5087.0
YER132C	108.0
YER133W	1964.5
YER134C	181.0
YER136W	738.5
YER139C	
YER140W	
YER141W	359.0
YER142C	
YER143W	63.0
YER145C	857.5
YER147C	
YER148W	330.5
YER149C	68.5
YER150W	
YER151C	448.5
YER152C	85.5
YER153C	
YER154W	397.0
YER155C	211.0
YER156C	219.5
YER157W	125.5
YER159C	252.5
YER161C	100.5
YER162C	
YER163C	
YER164W	177.5
YER165W	8073.5
YER166W	160.0
YER167W	
YER168C	281.0
YER169W	
YER170W	
YER171W	
YER172C	99.5
YER173W	
YER174C	45.5
YER175C	
YER176W	144.0
YER177W	3942.0
YER178W	648.0
YER182W	
YER183C	
YFL001W	102.5
YFL002C	109.5
YFL004W	281.5
YFL006W	83.5
YFL007W	74.0
YFL008W	126.0
YFL010C	
YFL013C	100.0
YFL014W	83.0
YFL016C	201.5
YFL017C	
YFL017W-A	231.0
YFL018C	757.5
YFL021W	
YFL023W	97.5
YFL024C	
YFL025C	
YFL026W	812.5
YFL027C	
YFL028C	
YFL029C	
YFL030W	
YFL031W	
YFL033C	
YFL034C-A	1744.0
YFL034C-B	66.0
YFL034W	
YFL036W	2420.0
YFL041W	325.0
YFL044C	
YFL045C	
YFL046W	
YFL047W	97.0
YFL048C	421.5
YFL049W	
YFL062W	
YFR001W	147.5
YFR002W	266.5
YFR004W	1203.0
YFR005C	
YFR006W	90.5
YFR008W	
YFR009W	1274.5
YFR010W	49.5
YFR011C	215.5
YFR013W	87.0
YFR014C	
YFR015C	91.0
YFR016C	164.0
YFR017C	52.5
YFR019W	
YFR021W	86.0
YFR024C	356.0
YFR024C-A	333.0
YFR025C	
YFR027W	
YFR028C	91.5
YFR030W	44.5
YFR031C	
YFR031C-A	3738.0
YFR032C-A	8110.0
YFR033C	305.5
YFR034C	
YFR036W	
YFR037C	369.0
YFR039C	
YFR040W	180.0
YFR041C	158.0
YFR044C	394.5
YFR046C	
YFR047C	54.5
YFR048W	142.5
YFR049W	120.5
YFR050C	1469.0
YFR051C	953.5
YFR052W	966.0
YFR053C	111.0
YGL001C	393.5
YGL004C	51.5
YGL005C	
YGL006W	
YGL008C	6439.0
YGL009C	4135.0
YGL010W	54.5
YGL011C	1597.5
YGL012W	433.5
YGL013C	
YGL014W	226.5
YGL016W	114.0
YGL017W	
YGL018C	
YGL019W	197.5
YGL020C	472.0
YGL021W	
YGL022W	586.0
YGL023C	
YGL025C	
YGL026C	1118.5
YGL028C	127.5
YGL029W	449.0
YGL031C	5714.5
YGL032C	
YGL035C	96.0
YGL036W	
YGL037C	634.5
YGL038C	152.5
YGL039W	66.0
YGL040C	467.0
YGL043W	226.5
YGL046W	86.5
YGL047W	
YGL048C	1121.0
YGL049C	480.0
YGL053W	
YGL054C	1084.0
YGL055W	498.0
YGL056C	270.0
YGL057C	
YGL058W	465.5
YGL059W	
YGL060W	
YGL061C	100.0
YGL062W	864.5
YGL064C	
YGL065C	65.5
YGL066W	
YGL067W	65.0
YGL068W	457.5
YGL070C	480.0
YGL071W	
YGL073W	
YGL075C	119.5
YGL076C	4944.0
YGL077C	496.5
YGL078C	880.5
YGL079W	
YGL080W	107.5
YGL082W	157.0
YGL083W	52.5
YGL084C	200.0
YGL085W	
YGL086W	
YGL087C	145.5
YGL090W	
YGL091C	
YGL092W	290.5
YGL093W	
YGL094C	
YGL095C	68.0
YGL097W	552.0
YGL098W	85.5
YGL099W	435.5
YGL101W	194.5
