Accession number	Control (copies/cell Spectral counts)
YP_003612.1	34
YP_000102.1	30
YP_000270.1	30
YP_000419.1	30
YP_001125.1	30
YP_001538.1	30
YP_002131.1	30
YP_000030.1	27
YP_000221.1	27
YP_000792.1	27
YP_000812.1	27
YP_000860.1	27
YP_002265.1	27
YP_002344.1	27
YP_002346.1	27
YP_002501.1	27
YP_002876.1	27
YP_002954.1	27
YP_003266.1	27
YP_003319.1	27
YP_003587.1	27
YP_001895.1	27
YP_000049.1	24
YP_000407.1	24
YP_001409.1	24
YP_001606.1	24
YP_001741.1	24
YP_002908.1	24
YP_002914.1	24
YP_003152.1	24
YP_000676.1	24
YP_003052.1	24
YP_000342.1	21
YP_000370.1	21
YP_000894.1	21
YP_001196.1	21
YP_001677.1	21
YP_001893.1	21
YP_001981.1	21
YP_002051.1	21
YP_002387.1	21
YP_002502.1	21
YP_002570.1	21
YP_002738.1	21
YP_003528.1	21
YP_003551.1	21
YP_003581.1	21
YP_003611.1	21
YP_003637.1	21
YP_002743.1	21
YP_000620.1	17
YP_000723.1	17
YP_000755.1	17
YP_000879.1	17
YP_000942.1	17
YP_001133.1	17
YP_001232.1	17
YP_001233.1	17
YP_001256.1	17
YP_001347.1	17
YP_001451.1	17
YP_001457.1	17
YP_001722.1	17
YP_001777.1	17
YP_001825.1	17
YP_002165.1	17
YP_003264.1	17
YP_003421.1	17
YP_000103.1	14
YP_000219.1	14
YP_000227.1	14
YP_000993.1	14
YP_001219.1	14
YP_001625.1	14
YP_001808.1	14
YP_001944.1	14
YP_002809.1	14
YP_002925.1	14
YP_002970.1	14
YP_003139.1	14
YP_003147.1	14
YP_003268.1	14
YP_003553.1	14
YP_002197.1	14
YP_002271.1	14
YP_000986.1	14
YP_000306.1	14
YP_000197.1	11
YP_000209.1	11
YP_000218.1	11
YP_001221.1	11
YP_001320.1	11
YP_001647.1	11
YP_001673.1	11
YP_001958.1	11
YP_002067.1	11
YP_002173.1	11
YP_002361.1	11
YP_002556.1	11
YP_002568.1	11
YP_002740.1	11
YP_002804.1	11
YP_002945.1	11
YP_003124.1	11
YP_003251.1	11
YP_003269.1	11
YP_003536.1	11
YP_003649.1	11
YP_001858.1	11
YP_003408.1	11
YP_000399.1	8
YP_000513.1	8
YP_001201.1	8
YP_001261.1	8
YP_001462.1	8
YP_001700.1	8
YP_001749.1	8
YP_001888.1	8
YP_002264.1	8
YP_002427.1	8
YP_003213.1	8
YP_003366.1	8
YP_002967.1	8
YP_003193.1	8
YP_003360.1	8
YP_001569.1	8
YP_001998.1	8
YP_000781.1	5
YP_000973.1	5
YP_001586.1	5
YP_001671.1	5
YP_001774.1	5
YP_001810.1	5
YP_001832.1	5
YP_001904.1	5
YP_002118.1	5
YP_002576.1	5
YP_002591.1	5
YP_002697.1	5
YP_002859.1	5
YP_003141.1	5
YP_003259.1	5
YP_003359.1	5
YP_000124.1	5
YP_001688.1	5
YP_002752.1	5
YP_001180.1	5
YP_001736.1	5
