Accession number	Control (copies/cell MS1)
YP_001044.1	907
YP_001193.1	748
YP_001459.1	1023
YP_001450.1	1065
YP_001794.1	778
YP_000853.1	813
YP_002612.1	708
YP_000180.1	
YP_000155.1	
YP_003544.1	1462
YP_003256.1	945
YP_001059.1	1344
YP_000646.1	828
YP_001166.1	954
YP_003488.1	815
YP_001368.1	977
YP_002166.1	801
YP_000113.1	618
YP_002198.1	924
YP_003625.1	893
YP_002329.1	745
YP_000467.1	717
YP_001793.1	333
YP_003337.1	621
YP_002871.1	1098
YP_000202.1	
YP_000674.1	650
YP_000585.1	815
YP_000366.1	406
YP_001645.1	486
YP_002532.1	
YP_000470.1	565
YP_002530.1	
YP_002531.1	
YP_000740.1	652
YP_000175.1	
YP_000158.1	
YP_002211.1	611
YP_002142.1	740
YP_000223.1	286
YP_002376.1	597
YP_000893.1	462
YP_000226.1	737
YP_001241.1	479
YP_003218.1	438
YP_002331.1	404
YP_001655.1	743
YP_000648.1	726
YP_000120.1	246
YP_002259.1	441
YP_002124.1	535
YP_000172.1	
YP_000825.1	345
YP_001595.1	657
YP_001583.1	1221
YP_001429.1	312
YP_003422.1	258
YP_001609.1	
YP_001702.1	433
YP_000210.1	224
YP_002128.1	323
YP_000769.1	
YP_003428.1	384
YP_002533.1	91
YP_000855.1	337
YP_003313.1	465
YP_000542.1	341
YP_000401.1	516
YP_002113.1	
YP_000217.1	462
YP_002983.1	1602
YP_002345.1	1144
YP_000959.1	518
YP_003001.1	287
YP_002300.1	191
YP_001577.1	
YP_002718.1	216
YP_000538.1	309
YP_001029.1	78
YP_002850.1	319
YP_002493.1	320
YP_001132.1	314
YP_000689.1	394
YP_000165.1	
YP_000424.1	187
YP_001921.1	189
YP_001960.1	275
YP_001298.1	264
YP_000338.1	608
YP_002281.1	246
YP_000752.1	714
YP_003120.1	
YP_001066.1	167
YP_001900.1	793
YP_002660.1	237
YP_002417.1	477
YP_002722.1	175
YP_000496.1	331
YP_001594.1	165
YP_002005.1	171
YP_002273.1	318
YP_001927.1	
YP_001622.1	162
YP_000173.1	
YP_003424.1	255
YP_000466.1	246
YP_002500.1	186
YP_002004.1	249
YP_001495.1	
YP_000222.1	129
YP_003547.1	368
YP_001460.1	1069
YP_003537.1	
YP_003527.1	105
YP_000373.1	
YP_002252.1	
YP_002179.1	
YP_000694.1	
YP_001398.1	166
YP_000411.1	157
YP_000448.1	
YP_000017.1	177
YP_000583.1	
YP_000639.1	168
YP_001326.1	445
YP_002182.1	421
YP_003204.1	382
YP_000068.1	364
YP_000745.1	294
YP_001006.1	267
YP_003346.1	234
YP_001005.1	215
YP_001286.1	186
YP_000235.1	75
YP_000449.1	
YP_001975.1	
YP_001016.1	
YP_002260.1	
YP_000647.1	
YP_000308.1	
YP_003036.1	
YP_001037.1	
YP_000624.1	
YP_002018.1	
YP_000505.1	
YP_000921.1	
YP_000961.1	
YP_002934.1	
YP_001369.1	
YP_002368.1	
YP_000718.1	
YP_002269.1	
YP_002171.1	
YP_000130.1	
YP_001593.1	
YP_003391.1	
YP_002303.1	
YP_003265.1	
YP_000012.1	
YP_000958.1	
YP_001553.1	
YP_002459.1	
YP_000092.1	
YP_000101.1	
YP_000645.1	
YP_001333.1	
YP_001573.1	
YP_003442.1	
YP_001147.1	
YP_000145.1	
YP_000347.1	
YP_000722.1	
YP_002116.1	
YP_002887.1	
YP_003310.1	
YP_001239.1	
YP_001397.1	
YP_002996.1	
YP_003556.1	
YP_001823.1	
YP_002314.1	
YP_002928.1	
YP_003643.1	
YP_000503.1	
YP_002395.1	
YP_001539.1	
YP_002733.1	
YP_003654.1	
YP_002255.1	
YP_000822.1	
YP_002467.1	
YP_002935.1	
YP_003362.1	
YP_000311.1	
YP_001361.1	
YP_001922.1	
YP_002476.1	
YP_003484.1	
YP_000388.1	
YP_002105.1	
YP_001880.1	
YP_002953.1	
YP_003558.1	
YP_000649.1	
YP_002793.1	
YP_003175.1	
YP_000153.1	
YP_002629.1	
YP_002750.1	
YP_000545.1	
YP_001030.1	
YP_001126.1	
YP_002034.1	
YP_000225.1	
YP_001631.1	
YP_000821.1	
YP_001522.1	
YP_003656.1	
YP_002893.1	
YP_001403.1	
YP_003331.1	
YP_000316.1	
YP_002907.1	
YP_001833.1	
YP_002616.1	
YP_003144.1	
YP_001599.1	
YP_002675.1	
YP_001866.1	
YP_002713.1	
YP_003382.1	
YP_000627.1	
YP_000683.1	
YP_001831.1	
YP_000118.1	
YP_000405.1	
YP_001061.1	
YP_003183.1	
YP_001918.1	
YP_002451.1	
YP_001345.1	
YP_003339.1	
YP_000141.1	
YP_001786.1	
YP_003114.1	
YP_001932.1	
YP_002210.1	
YP_002340.1	
YP_002837.1	
YP_002933.1	
YP_000077.1	
YP_001143.1	
YP_003063.1	
YP_000989.1	
YP_001444.1	
YP_001570.1	
YP_001787.1	
YP_001855.1	
YP_002504.1	
YP_002856.1	
YP_000384.1	
YP_000779.1	
YP_001502.1	
YP_002065.1	
YP_002097.1	
YP_002285.1	
YP_002995.1	
YP_003397.1	
YP_001509.1	
YP_003039.1	
YP_000079.1	
YP_000996.1	
YP_001083.1	
YP_001107.1	
YP_001424.1	
YP_001566.1	
YP_003437.1	
YP_003628.1	
YP_000232.1	
YP_000435.1	
YP_001912.1	
YP_002542.1	
YP_002597.1	
YP_003441.1	
YP_000193.1	
YP_000271.1	
YP_001240.1	
YP_001351.1	
YP_002505.1	
YP_002654.1	
YP_002982.1	
YP_000250.1	
YP_000750.1	
YP_000794.1	
YP_001024.1	
YP_001041.1	
YP_001562.1	
YP_002646.1	
YP_003112.1	
YP_003439.1	
YP_000020.1	
YP_000418.1	
YP_001446.1	
YP_001822.1	
YP_001953.1	
YP_002007.1	
YP_002030.1	
YP_002148.1	
YP_002232.1	
YP_002474.1	
YP_002488.1	
YP_002496.1	
YP_003098.1	
YP_000376.1	
YP_000469.1	
YP_000708.1	
YP_000780.1	
YP_001828.1	
YP_002682.1	
YP_003207.1	
YP_003384.1	
YP_003425.1	
YP_003612.1	
YP_000102.1	
YP_000270.1	
YP_000419.1	
YP_001125.1	
YP_001538.1	
YP_002131.1	
YP_000030.1	
YP_000221.1	
YP_000792.1	
YP_000812.1	
YP_000860.1	
YP_002265.1	
YP_002344.1	
YP_002346.1	
YP_002501.1	
YP_002876.1	
YP_002954.1	
YP_003266.1	
YP_003319.1	
YP_003587.1	
YP_001895.1	
YP_000049.1	
YP_000407.1	
YP_001409.1	
YP_001606.1	
YP_001741.1	
YP_002908.1	
YP_002914.1	
YP_003152.1	
YP_000676.1	
YP_003052.1	
YP_000342.1	
YP_000370.1	
YP_000894.1	
YP_001196.1	
YP_001677.1	
YP_001893.1	
YP_001981.1	
YP_002051.1	
YP_002387.1	
YP_002502.1	
YP_002570.1	
YP_002738.1	
YP_003528.1	
YP_003551.1	
YP_003581.1	
YP_003611.1	
YP_003637.1	
YP_002743.1	
YP_000620.1	
YP_000723.1	
YP_000755.1	
YP_000879.1	
YP_000942.1	
YP_001133.1	
YP_001232.1	
YP_001233.1	
YP_001256.1	
YP_001347.1	
YP_001451.1	
YP_001457.1	
YP_001722.1	
YP_001777.1	
YP_001825.1	
YP_002165.1	
YP_003264.1	
YP_003421.1	
YP_000103.1	
YP_000219.1	
YP_000227.1	
YP_000993.1	
YP_001219.1	
YP_001625.1	
YP_001808.1	
YP_001944.1	
YP_002809.1	
YP_002925.1	
YP_002970.1	
YP_003139.1	
YP_003147.1	
YP_003268.1	
YP_003553.1	
YP_002197.1	
YP_002271.1	
YP_000986.1	
YP_000306.1	
YP_000197.1	
YP_000209.1	
YP_000218.1	
YP_001221.1	
YP_001320.1	
YP_001647.1	
YP_001673.1	
YP_001958.1	
YP_002067.1	
YP_002173.1	
YP_002361.1	
YP_002556.1	
YP_002568.1	
YP_002740.1	
YP_002804.1	
YP_002945.1	
YP_003124.1	
YP_003251.1	
YP_003269.1	
YP_003536.1	
YP_003649.1	
YP_001858.1	
YP_003408.1	
YP_000399.1	
YP_000513.1	
YP_001201.1	
YP_001261.1	
YP_001462.1	
YP_001700.1	
YP_001749.1	
YP_001888.1	
YP_002264.1	
YP_002427.1	
YP_003213.1	
YP_003366.1	
YP_002967.1	
YP_003193.1	
YP_003360.1	
YP_001569.1	
YP_001998.1	
YP_000781.1	
YP_000973.1	
YP_001586.1	
YP_001671.1	
YP_001774.1	
YP_001810.1	
YP_001832.1	
YP_001904.1	
YP_002118.1	
YP_002576.1	
YP_002591.1	
YP_002697.1	
YP_002859.1	
YP_003141.1	
YP_003259.1	
YP_003359.1	
YP_000124.1	
YP_001688.1	
YP_002752.1	
YP_001180.1	
YP_001736.1	
YP_001905.1	
YP_002426.1	
YP_000067.1	
YP_000004.1	
YP_000026.1	
YP_000076.1	
YP_000082.1	
YP_000090.1	
YP_000139.1	
YP_000281.1	
YP_000330.1	
YP_000362.1	
YP_000385.1	
YP_000504.1	
YP_000589.1	
YP_000690.1	
YP_000746.1	
YP_000771.1	
YP_000887.1	
YP_000890.1	
YP_001056.1	
YP_001105.1	
YP_001155.1	
YP_001181.1	
YP_001182.1	
YP_001215.1	
YP_001251.1	
YP_001302.1	
YP_001438.1	
YP_001443.1	
YP_001610.1	
YP_001614.1	
YP_001634.1	
YP_001648.1	
YP_001658.1	
YP_001717.1	
YP_001821.1	
YP_001863.1	
YP_001864.1	
YP_002238.1	
YP_002244.1	
YP_002305.1	
YP_002398.1	
YP_002422.1	
YP_002475.1	
YP_002562.1	
YP_002566.1	
YP_002572.1	
YP_002590.1	
YP_002630.1	
YP_002915.1	
YP_002955.1	
YP_002977.1	
YP_002990.1	
YP_003005.1	
YP_003145.1	
YP_003154.1	
YP_003179.1	
YP_003181.1	
YP_003185.1	
YP_003190.1	
YP_003217.1	
YP_003224.1	
YP_003238.1	
YP_003284.1	
YP_003290.1	
YP_003338.1	
YP_003426.1	
YP_003443.1	
YP_003478.1	
YP_003501.1	
YP_003559.1	
YP_003589.1	
YP_003629.1	
YP_002187.1	
YP_002360.1	
YP_000952.1	
YP_000161.1	
YP_000267.1	
YP_000312.1	
YP_000980.1	
YP_001049.1	
YP_001141.1	
YP_001175.1	
YP_001603.1	
YP_001695.1	
YP_001798.1	
YP_001870.1	
YP_001968.1	
YP_001999.1	
YP_002399.1	
YP_002519.1	
YP_002897.1	
YP_002941.1	
YP_002942.1	
YP_002961.1	
YP_003056.1	
YP_003156.1	
YP_003333.1	
YP_003505.1	
YP_003570.1	
YP_001359.1	
YP_000747.1	
YP_001237.1	
YP_001330.1	
YP_001790.1	
YP_002297.1	
YP_000997.1	
YP_001179.1	
YP_001632.1	
YP_001976.1	
YP_002272.1	
YP_002367.1	
YP_003054.1	
YP_003577.1	
YP_001442.1	
YP_001770.1	
YP_002160.1	
YP_002216.1	
YP_002643.1	
YP_000135.1	
YP_001589.1	
YP_002820.1	
YP_000253.1	
YP_000588.1	
YP_001524.1	
YP_002001.1	
YP_000682.1	
YP_000960.1	
YP_001142.1	
YP_001837.1	
YP_000481.1	
YP_001869.1	
YP_002494.1	
YP_000679.1	
YP_003600.1	
YP_002557.1	
YP_000187.1	
YP_002510.1	
YP_002620.1	
YP_003430.1	
YP_000057.1	
YP_002437.1	
YP_003464.1	
YP_000785.1	
YP_003660.1	
YP_002567.1	
YP_000078.1	
YP_000400.1	
YP_000379.1	
YP_002635.1	
YP_003620.1	
YP_003554.1	
YP_002950.1	
YP_000654.1	
YP_001430.1	
YP_002127.1	
YP_003048.1	
YP_001271.1	
YP_001453.1	
YP_001249.1	
YP_000472.1	
YP_001842.1	
YP_002413.1	
YP_003248.1	
YP_000638.1	
YP_001767.1	
YP_002637.1	
YP_000434.1	
YP_000717.1	
YP_002242.1	
YP_000801.1	
YP_000086.1	
YP_001852.1	
YP_000357.1	
YP_001448.1	
YP_002823.1	
YP_003320.1	
YP_002852.1	
YP_001694.1	
YP_002885.1	
YP_000008.1	
YP_000010.1	
YP_000015.1	
YP_000025.1	
YP_000027.1	
YP_000033.1	
YP_000034.1	
YP_000036.1	
YP_000042.1	
YP_000044.1	
YP_000047.1	
YP_000056.1	
YP_000061.1	
YP_000062.1	
YP_000070.1	
YP_000080.1	
YP_000081.1	
YP_000084.1	
YP_000085.1	
YP_000097.1	
YP_000100.1	
YP_000104.1	
YP_000105.1	
YP_000106.1	
YP_000107.1	
YP_000112.1	
YP_000125.1	
YP_000129.1	
YP_000142.1	
YP_000146.1	
YP_000156.1	
YP_000162.1	
YP_000163.1	
YP_000164.1	
YP_000170.1	
YP_000171.1	
YP_000174.1	
YP_000176.1	
YP_000179.1	
YP_000188.1	
YP_000203.1	
YP_000204.1	
YP_000208.1	
YP_000214.1	
YP_000220.1	
YP_000230.1	
YP_000231.1	
YP_000233.1	
YP_000234.1	
YP_000237.1	
YP_000238.1	
YP_000241.1	
YP_000252.1	
YP_000263.1	
YP_000265.1	
YP_000266.1	
YP_000269.1	
YP_000282.1	
YP_000286.1	
YP_000293.1	
YP_000294.1	
YP_000295.1	
YP_000296.1	
YP_000298.1	
YP_000302.1	
YP_000303.1	
YP_000309.1	
YP_000310.1	
YP_000314.1	
YP_000318.1	
YP_000319.1	
YP_000320.1	
YP_000324.1	
YP_000325.1	
YP_000328.1	
YP_000331.1	
YP_000332.1	
YP_000335.1	
YP_000341.1	
YP_000344.1	
YP_000345.1	
YP_000351.1	
YP_000356.1	
YP_000360.1	
YP_000365.1	
YP_000367.1	
YP_000371.1	
YP_000374.1	
YP_000378.1	
YP_000380.1	
YP_000383.1	
YP_000386.1	
YP_000387.1	
YP_000393.1	
YP_000394.1	
YP_000396.1	
YP_000398.1	
YP_000402.1	
YP_000403.1	
